Stadium,Latitude,Longitude,World Cup,City,Stadium Capacity,,Coordinates
Royal Bafokeng Stadium,-25.5787,27.1609,2010 South Africa,Rustenburg,45000,,25°34′43″S 27°09′39″E
Free State Stadium,-29.1173,26.2088,2010 South Africa,Bloemfontein,45000,,29°07′02.25″S 26°12′31.85″E
Green Point Stadium,-33.9048,18.4098,2010 South Africa,Cape Town,70000,,33°54′12.46″S 18°24′40.15″E
Durban Stadium,-29.829,31.0304,2010 South Africa,Durban,70000,,29°49′46″S 31°01′49″E
Peter Mokaba Stadium,-23.9248,29.4688,2010 South Africa,Polokwane,45000,,23°55′29″S 29°28′08″E
Nelson Mandela Bay Stadium,-33.9379,25.5992,2010 South Africa,Port Elizabeth,48000,,33°56′16″S 25°35′56″E
Loftus Versfeld Stadium,-25.7533,28.2229,2010 South Africa,Pretoria,50000,,25°45′12″S 28°13′22″E
Estádio Mineirão,-19.8659,-43.9711,2014 Brazil,Belo Horizonte,58170,,19°51′57″S 43°58′15″W
Estádio Nacional de Brasília,-15.7836,-47.8992,2014 Brazil,Brasília,69349,,15°47′0.60″S 47°53′56.99″W
Arena Pantanal,-15.6040,-56.1216,2014 Brazil,Cuiabá,41112,,"15.6040° S, 56.1216° W"
Arena da Baixada,-25.4482,-49.2770,2014 Brazil,Curitiba,39631,,25°26′54″S 49°16′37″W
Estádio Castelão,-3.8073,-38.5224,2014 Brazil,Fortaleza,60342,,3°48′26″S 38°31′21″W
Arena Amazônia,-3.0832,-60.0281,2014 Brazil,Manaus,40549,,3°4′59″S 60°1′41″W
Arena das Dunas,-5.8268,-35.2124,2014 Brazil,Natal,39971,,5.826936°S 35.212371°W
Estádio Beira-Rio,-30.0654,-51.2359,2014 Brazil,Porto Alegre,43394,,30°3′56.21″S 51°14′9.91″W
Arena Pernambuco,-8.0407,-35.0082,2014 Brazil,São Lourenço da Mata,42610,,08°02′26″S 35°00′30″W
Estádio do Maracanã,-22.9121,-43.2302,2014 Brazil,Rio de Janeiro,74738,,22°54′44″S 43°13′49″W
Arena Fonte Nova,-12.9788,-38.5044,2014 Brazil,Salvador,51900,,12°58′43″S 38°30′15″W
Arena de São Paulo,-23.5453,-46.4743,2014 Brazil,São Paulo,62601,,23°32′42.9″S 46°28′27.4″W
Yekaterinburg Arena,56.8326,60.5734,2018 Russia,Yekaterinburg,33061,,56°49′57″N 60°34′25″E
Kaliningrad Stadium,54.6982,20.5337,2018 Russia,Kaliningrad,33973,,54°41′53″N 20°32′02″E
Kazan Arena,55.821,49.1608,2018 Russia,Kazan,42873,,55°49′16″N 49°09′39″E
Luzhniki Stadium,55.7158,37.5537,2018 Russia,Moscow,78011,,55°42′57″N 37°33′13″E
Spartak Stadium,55.8177,37.4402,2018 Russia,Moscow,44190,,55°49′4.3″N 37°26′24.9″E
Nizhny Novgorod Stadium,56.3375,43.9633,2018 Russia,Nizhny Novgorod,43319,,56°20′15″N 43°57′48″E
Rostov Arena,47.2094,39.7378,2018 Russia,Rostov-on-Don,43472,,47°12′34″N 39°44′16″E
Fisht Stadium,43.4011,39.9563,2018 Russia,Sochi,44287,,43°24′08″N 39°57′22″E
Samara Arena,53.278,50.2375,2018 Russia,Samara,41970,,53°16′40″N 50°14′14″E
Saint Petersburg Stadium,59.9727,30.2214,2018 Russia,Saint Petersburg,64468,,59°58′22.8″N 30°13′13.8″E
Mordovia Arena,54.182778,45.201389,2018 Russia,Saransk,41685,,54°10′58″N 45°12′05″E
Volgograd Arena,48.7344,44.5486,2018 Russia,Volgograd,43713,,48°44′04″N 44°32′55″E
